Min Mag,Mean,Standard Deviation,COV
6.0,0.95845246,0.5206521,0.54322165
6.5,0.72331786,0.30110428,0.4162821
7.0,0.6348104,0.23727444,0.3737721
7.5,0.4721811,0.19495264,0.4128768
