Min Mag,Mean,Standard Deviation,COV
6.0,0.999673,0.8441383,0.8444144
6.5,0.99964696,0.6180375,0.6182558
7.0,0.99945074,0.5086005,0.50887996
7.5,0.9984168,0.49941334,0.5002053
