Min Mag,Mean,Standard Deviation,COV
6.0,0.99961054,0.39812854,0.39828366
6.5,0.99959254,0.35155398,0.35169727
7.0,0.999281,0.34019452,0.34043932
7.5,0.9978772,0.4909025,0.49194682
