Scenario,Distance (km),Overall Result,Plot File Name,1s Min Criterion,1s Max Criterion,1s GMPE Median,1s Sim Median,1s Sim Std Dev,1s Result,1.1s Min Criterion,1.1s Max Criterion,1.1s GMPE Median,1.1s Sim Median,1.1s Sim Std Dev,1.1s Result,1.2s Min Criterion,1.2s Max Criterion,1.2s GMPE Median,1.2s Sim Median,1.2s Sim Std Dev,1.2s Result,1.3s Min Criterion,1.3s Max Criterion,1.3s GMPE Median,1.3s Sim Median,1.3s Sim Std Dev,1.3s Result,1.5s Min Criterion,1.5s Max Criterion,1.5s GMPE Median,1.5s Sim Median,1.5s Sim Std Dev,1.5s Result,1.7s Min Criterion,1.7s Max Criterion,1.7s GMPE Median,1.7s Sim Median,1.7s Sim Std Dev,1.7s Result,2s Min Criterion,2s Max Criterion,2s GMPE Median,2s Sim Median,2s Sim Std Dev,2s Result,2.2s Min Criterion,2.2s Max Criterion,2.2s GMPE Median,2.2s Sim Median,2.2s Sim Std Dev,2.2s Result,2.4s Min Criterion,2.4s Max Criterion,2.4s GMPE Median,2.4s Sim Median,2.4s Sim Std Dev,2.4s Result,2.6s Min Criterion,2.6s Max Criterion,2.6s GMPE Median,2.6s Sim Median,2.6s Sim Std Dev,2.6s Result,2.8s Min Criterion,2.8s Max Criterion,2.8s GMPE Median,2.8s Sim Median,2.8s Sim Std Dev,2.8s Result,3s Min Criterion,3s Max Criterion,3s GMPE Median,3s Sim Median,3s Sim Std Dev,3s Result
"M7.2, Reverse, Dip=45",20.0,PASS,bbp_partB_m7p2_reverse_20km.png,0.1196756,0.24908908,0.17265539,0.21485999,0.3990694,PASS,0.107721046,0.22420724,0.15540862,0.19444992,0.3851799,PASS,0.09785322,0.20366865,0.14117235,0.175355,0.39940912,PASS,0.089575954,0.1864406,0.12923078,0.15976997,0.4286304,PASS,0.07648369,0.15919077,0.110342644,0.14047498,0.44509697,PASS,0.0660897,0.13755704,0.09534728,0.11387492,0.45699304,PASS,0.05467214,0.113792896,0.07887523,0.0855,0.450337,PASS,0.049400464,0.10282059,0.0712698,0.07684247,0.4470689,PASS,0.045032926,0.09373014,0.06496878,0.069028996,0.46847162,PASS,0.041356996,0.086079165,0.05966553,0.061883472,0.47930595,PASS,0.038221676,0.07955341,0.055142224,0.054562483,0.46878314,PASS,0.035516795,0.07392355,0.051239904,0.047836494,0.44832417,PASS
"M7.2, Reverse, Dip=45",50.0,PASS,bbp_partB_m7p2_reverse_50km.png,0.05314737,0.11061929,0.07667545,0.086220846,0.36176103,PASS,0.04806426,0.10003946,0.06934207,0.079076424,0.36200246,PASS,0.04384946,0.09126691,0.0632614,0.07407349,0.3700354,PASS,0.040299386,0.08387789,0.058139723,0.068853,0.37677935,PASS,0.034653496,0.07212671,0.049994428,0.060522426,0.39865613,PASS,0.02998995,0.062420152,0.043266352,0.051519,0.39668328,PASS,0.024858216,0.05173912,0.035862826,0.043563,0.40142345,PASS,0.022430955,0.046687093,0.032361027,0.035826497,0.4017495,PASS,0.020422593,0.04250695,0.029463574,0.032001473,0.41981757,PASS,0.018734263,0.038992915,0.027027829,0.029465994,0.4388987,PASS,0.017295808,0.03599896,0.024952576,0.026483,0.42146084,PASS,0.016056092,0.03341865,0.023164045,0.0240715,0.42165703,PASS
"M7.2, Reverse, Dip=45",100.0,PASS,bbp_partB_m7p2_reverse_100km.png,0.02639066,0.05693254,0.03946263,0.05277599,0.27546284,PASS,0.023952618,0.051861532,0.035947677,0.0490695,0.28219727,PASS,0.021924071,0.047627512,0.033012874,0.0453775,0.2894914,PASS,0.02021005,0.04403852,0.030525176,0.04235949,0.29924205,PASS,0.017472764,0.038282678,0.02653553,0.036317497,0.33862522,PASS,0.015285882,0.033265296,0.023057748,0.029437998,0.3319291,PASS,0.012849542,0.02771861,0.019213077,0.023091499,0.31880674,PASS,0.01163586,0.024998287,0.017327491,0.020304,0.32561415,PASS,0.0106282355,0.022748625,0.015768146,0.017795997,0.33591428,PASS,0.009778547,0.02085836,0.014457913,0.0156835,0.34558088,PASS,0.009052542,0.019248573,0.013342095,0.014417999,0.3625603,PASS,0.008425183,0.017861772,0.0123808365,0.012937,0.36887214,PASS
