Magnitude,Mean,Standard Deviation
10.0,2.291598,1.2713026
30.0,1.7921509,0.4641023
50.0,1.9823607,0.41917375
70.0,2.1001668,0.39424208
90.0,2.1704605,0.38156262
110.0,2.2035534,0.37466925
130.0,2.2566545,0.35700586
150.0,2.2690415,0.3279949
170.0,2.2577386,0.29440957
190.0,2.2567348,0.27123925
210.0,2.2624905,0.2431442
