Min Mag,Mean,Standard Deviation,COV
6.0,0.9997518,0.3161503,0.3162288
6.5,0.99971735,0.30365863,0.30374447
7.0,0.9994093,0.31673828,0.31692547
7.5,0.99703604,0.4739532,0.47536215
