Min Mag,Mean,Standard Deviation,COV
6.0,0.9996706,0.4244871,0.42462698
6.5,0.9996643,0.35944235,0.35956305
7.0,0.9994,0.34046277,0.3406672
7.5,0.9984544,0.4666144,0.4673367
