Magnitude,Mean,Standard Deviation
10.0,1.0252335,0.63194585
30.0,1.1526775,0.329315
50.0,1.3254983,0.31604147
70.0,1.4394112,0.3072345
90.0,1.5119547,0.30042982
110.0,1.5605367,0.2975521
130.0,1.6107434,0.28604782
150.0,1.6216544,0.26993847
170.0,1.6254028,0.2550131
190.0,1.6271658,0.23965995
210.0,1.6370839,0.21848607
