Magnitude,Mean,Standard Deviation
10.0,2.3827825,1.3339515
30.0,2.4207144,0.90627205
50.0,2.7779584,0.90152013
70.0,3.0399199,0.92062557
90.0,3.268033,0.95660824
110.0,3.4543097,0.96676034
130.0,3.6978831,1.0563021
150.0,3.644026,0.9890477
170.0,3.6066241,0.93792623
190.0,3.5339048,0.8749296
210.0,3.476329,0.7281389
