Min Mag,Mean,Standard Deviation,COV
6.0,0.9965328,0.9762881,0.9796849
6.5,0.99586546,0.69463485,0.69751877
7.0,0.99440587,0.60775214,0.6111711
7.5,0.9947099,0.54251355,0.5453988
