Min Mag,Mean,Standard Deviation,COV
6.0,0.96227103,0.54657364,0.56800383
6.5,0.73446476,0.31280658,0.42589736
7.0,0.6382161,0.25517124,0.39981952
7.5,0.4668697,0.21726112,0.46535707
