Min Mag,Mean,Standard Deviation,COV
6.0,0.99971044,0.41523015,0.41535044
6.5,0.99969786,0.35253567,0.35264224
7.0,0.9994703,0.33443728,0.33461452
7.5,0.99759996,0.47880274,0.47995466
