Min Mag,Mean,Standard Deviation,COV
6.0,0.9988213,0.81696767,0.8179317
6.5,0.998021,0.6511605,0.6524517
7.0,0.99653053,0.5564883,0.5584258
7.5,0.9935678,0.56798977,0.57166684
