Sect Index,Sect Name,RSQSim,UCERF3
0,"Airport Lake, Subsection 0",7.280260779903672,6.984713285643797
1,"Airport Lake, Subsection 1",7.280260779903672,6.976343248590321
2,"Airport Lake, Subsection 2",7.2804757661604285,6.976558419572255
3,"Airport Lake, Subsection 3",7.2804757661604285,6.982901215549751
4,"Airport Lake, Subsection 4",7.281326983639275,7.005265939056322
5,"Airport Lake, Subsection 5",7.281326983639275,7.08147142822321
6,"Almanor 2011 CFM, Subsection 0",7.114017096276839,6.778199409017018
7,"Almanor 2011 CFM, Subsection 1",7.111241269734122,6.769017501636649
8,"Almanor 2011 CFM, Subsection 2",7.111282150516467,6.76178891285183
9,"Almanor 2011 CFM, Subsection 3",7.110955383241336,6.72242607251981
10,"Almanor 2011 CFM, Subsection 4",7.110214953546882,6.713362265071925
11,"Almanor 2011 CFM, Subsection 5",7.112358349241999,6.715508566981724
12,"Almanor 2011 CFM, Subsection 6",7.11211043159764,6.542991189066157
13,"Anacapa-Dume alt 1, Subsection 0",7.32769648971859,7.664783875728094
14,"Anacapa-Dume alt 1, Subsection 1",7.326676329623017,7.664472339825109
15,"Anacapa-Dume alt 1, Subsection 2",7.328033560902215,7.665474162812062
16,"Anacapa-Dume alt 1, Subsection 3",7.328033560902215,7.634178563185547
17,"Anacapa-Dume alt 1, Subsection 4",7.328033560902215,7.642285990982098
18,"Anaheim, Subsection 0",NaN,7.613666906209872
19,"Anaheim, Subsection 1",NaN,7.609500894432368
20,"Anaheim, Subsection 2",7.714098479045613,7.609509454070276
21,"Antelope Valley 2011, Subsection 0",7.271656474368895,6.85535649016967
22,"Antelope Valley 2011, Subsection 1",7.271656474368895,6.851885391528936
23,"Antelope Valley 2011, Subsection 2",7.271656474368895,6.749158681738356
24,"Antelope Valley 2011, Subsection 3",7.271656474368895,6.749158681738356
25,"Antelope Valley 2011, Subsection 4",7.271656474368895,6.851885391528935
26,"Antelope Valley 2011, Subsection 5",7.271656474368895,6.85535649016967
27,"Ash Hill, Subsection 0",7.097087259376116,6.8209195431745036
28,"Ash Hill, Subsection 1",7.097087259376116,6.757089690477432
29,"Ash Hill, Subsection 2",7.097087259376116,6.753821128305235
30,"Ash Hill, Subsection 3",7.0944405828753005,6.751762103263827
31,"Ash Hill, Subsection 4",7.096342418933496,6.751762103263828
32,"Ash Hill, Subsection 5",6.847087868135814,6.753821128305236
33,"Ash Hill, Subsection 6",6.997681994972981,6.757089690477434
34,"Ash Hill, Subsection 7",7.0705135562134185,6.820919543174505
35,"Baker, Subsection 0",6.625,7.782831761891968
36,"Baker, Subsection 1",6.625,7.778916338869573
37,"Baker, Subsection 2",6.993639315726364,7.774982735341211
38,"Baker, Subsection 3",6.995,7.7711189554219375
39,"Baker, Subsection 4",6.995,7.768445280738095
40,"Baker, Subsection 5",6.995,7.766993967700591
41,"Baker, Subsection 6",6.993878632626054,7.765646692618647
42,"Baker, Subsection 7",6.993878632626054,7.764140818941635
43,"Baker, Subsection 8",6.991020774051947,7.762288600454049
44,"Baker, Subsection 9",6.832186596137129,7.760188832112902
45,"Baker, Subsection 10",6.8318531031984975,7.75723116951414
46,"Baker, Subsection 11",6.8318531031984975,7.757050729208456
47,"Baker, Subsection 12",7.377684633539801,7.757042619157234
48,"Baker, Subsection 13",7.179185978369098,7.75734565563192
49,"Bartlett Springs 2011 CFM, Subsection 0",7.479677954507142,7.652854294963522
50,"Bartlett Springs 2011 CFM, Subsection 1",7.479705604837403,7.653912706183937
51,"Bartlett Springs 2011 CFM, Subsection 2",7.476279433238738,7.6579120714357325
52,"Bartlett Springs 2011 CFM, Subsection 3",7.451596936649983,7.662475361553411
53,"Bartlett Springs 2011 CFM, Subsection 4",7.416473915992086,7.667716578163698
54,"Bartlett Springs 2011 CFM, Subsection 5",7.4206361110868855,7.672339430702827
55,"Bartlett Springs 2011 CFM, Subsection 6",7.411263711705717,7.675976580057169
56,"Bartlett Springs 2011 CFM, Subsection 7",7.387302405827277,7.678847187067588
57,"Bartlett Springs 2011 CFM, Subsection 8",7.349153579762898,7.682092492001642
58,"Bartlett Springs 2011 CFM, Subsection 9",7.3479829966013845,7.684905746801016
59,"Bartlett Springs 2011 CFM, Subsection 10",7.362574734767547,7.687461522896469
60,"Bartlett Springs 2011 CFM, Subsection 11",7.353798071032409,7.689899004698408
61,"Bartlett Springs 2011 CFM, Subsection 12",7.341055232169545,7.6917082358843505
62,"Bartlett Springs 2011 CFM, Subsection 13",7.354130605586146,7.693122628824756
63,"Bartlett Springs 2011 CFM, Subsection 14",7.314463639387875,7.6944484022736
64,"Bartlett Springs 2011 CFM, Subsection 15",7.316444667707511,7.695772639795705
65,"Bartlett Springs 2011 CFM, Subsection 16",7.3146638635069055,7.696600877603451
66,"Bartlett Springs 2011 CFM, Subsection 17",7.3146638635069055,7.697426975146462
67,"Bartlett Springs 2011 CFM, Subsection 18",7.301980885925669,7.697931274632457
68,"Bartlett Springs 2011 CFM, Subsection 19",7.300381032953523,7.69820613455237
69,"Bartlett Springs 2011 CFM, Subsection 20",7.342523487130406,7.697715949423456
70,"Bartlett Springs 2011 CFM, Subsection 21",7.318977901004753,7.697880337001577
71,"Bartlett Springs 2011 CFM, Subsection 22",7.315558796429564,7.699605082627926
72,"Battle Creek 2011 CFM, Subsection 0",7.502566000371741,7.1734127274744734
73,"Battle Creek 2011 CFM, Subsection 1",7.502566000371741,7.1701132526027775
74,"Battle Creek 2011 CFM, Subsection 2",7.502566000371741,7.086658279490053
75,"Battle Creek 2011 CFM, Subsection 3",7.502566000371741,7.085542932846616
76,"Battle Creek 2011 CFM, Subsection 4",7.502566000371741,7.086658279490053
77,"Battle Creek 2011 CFM, Subsection 5",7.502566000371741,7.1701132526027775
78,"Battle Creek 2011 CFM, Subsection 6",7.502566000371741,7.1734127274744734
79,"Bear River fault zone, Subsection 0",NaN,7.189474576495719
80,"Bear River fault zone, Subsection 1",NaN,7.1818086543785675
81,"Bear River fault zone, Subsection 2",7.195,7.185911107492322
82,"Bear River fault zone, Subsection 3",7.195,7.193167933447603
83,"Bear River fault zone, Subsection 4",7.195,7.2033528229153765
84,"Bear River fault zone, Subsection 5",7.195,7.205979924454298
85,"Bear River fault zone, Subsection 6",7.195,7.220331077965799
86,"Bear River fault zone, Subsection 7",7.195,7.223516952030207
87,"Bear River fault zone, Subsection 8",7.195,7.225586063936045
88,"Bear River fault zone, Subsection 9",7.195,7.225529079308223
89,"Bear River fault zone, Subsection 10",7.195,7.226936643811594
90,"Bennett Valley 2011 CFM, Subsection 0",7.386805541531516,7.710005112778248
91,"Bennett Valley 2011 CFM, Subsection 1",7.362297649972849,7.709233404423093
92,"Bennett Valley 2011 CFM, Subsection 2",7.38437664111961,7.70258889493182
93,"Bennett Valley 2011 CFM, Subsection 3",7.571393777483914,7.696991401614829
94,"Bennett Valley 2011 CFM, Subsection 4",7.450532539334718,7.691392263431001
95,"Bennett Valley 2011 CFM, Subsection 5",6.953931432504073,7.68517048283193
96,"Bennett Valley 2011 CFM, Subsection 6",6.955898351461683,7.67967915104794
97,"Bicycle Lake, Subsection 0",NaN,6.640953065398692
98,"Bicycle Lake, Subsection 1",NaN,6.559756688513227
99,"Bicycle Lake, Subsection 2",NaN,6.642951318090653
100,"Bicycle Lake, Subsection 3",NaN,6.646844906556546
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",7.83263125108794,7.810575956993701
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",7.8341890378559516,7.806006244551143
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",7.835421800484179,7.802306252038641
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",7.83433076686657,7.800207682031174
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",7.833136168516567,7.799638552250584
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",7.819782987719341,7.800861677458785
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",7.818993194661791,7.803652626094118
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",7.83215126710137,7.808124113499232
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",7.83215126710137,7.812987626570508
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",7.83215126710137,7.818495752520919
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",7.83215126710137,7.828890157321069
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",7.83215126710137,7.838057866588946
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",7.83215126710137,7.84802597285144
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",7.83215126710137,7.858525804275467
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",7.83215126710137,7.868807436178602
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",7.83215126710137,7.88036077228788
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",7.83215126710137,7.89040646544434
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",7.83215126710137,7.901943872022054
119,"Big Pine (Central), Subsection 0",7.584447989277988,7.734726072593529
120,"Big Pine (Central), Subsection 1",7.585,7.773351177589112
121,"Big Pine (Central), Subsection 2",7.58158032252694,7.776432274659616
122,"Big Pine (Central), Subsection 3",7.58158032252694,7.778236718120156
123,"Big Pine (Central), Subsection 4",7.585,7.778395369300899
124,"Big Pine (Central), Subsection 5",7.5836096131543735,7.039717739775691
125,"Big Pine (Central), Subsection 6",7.586789114954308,7.054499664653388
126,"Big Pine (East), Subsection 0",7.580964882081544,7.782853941653015
127,"Big Pine (East), Subsection 1",7.594990740645734,7.782721595166042
128,"Big Pine (East), Subsection 2",7.625325521299213,7.785930475254093
129,"Big Pine (East), Subsection 3",7.665848686120813,7.789119881449311
130,"Big Pine (West), Subsection 0",7.271062769440957,7.653373927850146
131,"Big Pine (West), Subsection 1",7.19580437413113,7.6472060788555565
132,"Big Pine (West), Subsection 2",7.27201179901367,7.2442837564897795
133,"Blackwater, Subsection 0",7.2650595684131725,6.894152196370777
134,"Blackwater, Subsection 1",7.2650595684131725,6.890564537847638
135,"Blackwater, Subsection 2",7.2650595684131725,6.836914244628439
136,"Blackwater, Subsection 3",7.2650595684131725,6.833726087968797
137,"Blackwater, Subsection 4",7.2650595684131725,6.831401222694997
138,"Blackwater, Subsection 5",7.2650595684131725,6.830634721147208
139,"Blackwater, Subsection 6",7.2650595684131725,6.831401222694996
140,"Blackwater, Subsection 7",7.2650595684131725,6.833726087968795
141,"Blackwater, Subsection 8",7.5746082601027975,6.836914244628438
142,"Blackwater, Subsection 9",7.575176788741493,6.890564537847636
143,"Blackwater, Subsection 10",7.620237441006305,6.894152196370775
144,"Blue Cut, Subsection 0",7.427268880343712,7.060216785353955
145,"Blue Cut, Subsection 1",7.325,7.016248329994367
146,"Blue Cut, Subsection 2",NaN,7.012706617235369
147,"Blue Cut, Subsection 3",NaN,6.959526874181435
148,"Blue Cut, Subsection 4",7.187033025785637,6.956318342188696
149,"Blue Cut, Subsection 5",7.187033025785637,6.9543765245214635
150,"Blue Cut, Subsection 6",7.183695059763662,6.953736296906995
151,"Blue Cut, Subsection 7",7.183695059763662,6.954376524521463
152,"Blue Cut, Subsection 8",7.183695059763662,6.956318342188695
153,"Blue Cut, Subsection 9",7.183695059763662,6.959526874181434
154,"Blue Cut, Subsection 10",7.182788968572654,7.012706617235368
155,"Blue Cut, Subsection 11",7.182788968572654,7.016248329994366
156,"Blue Cut, Subsection 12",7.182788968572654,7.060216785353954
157,"Brawley (Seismic Zone) alt 1, Subsection 0",7.361167999146055,8.147797075473157
158,"Brawley (Seismic Zone) alt 1, Subsection 1",7.4245519575628975,8.147795480901786
159,"Brawley (Seismic Zone) alt 1, Subsection 2",7.412734908331359,8.147841593184374
160,"Brawley (Seismic Zone) alt 1, Subsection 3",7.38420358717691,8.147830863141794
161,"Brawley (Seismic Zone) alt 1, Subsection 4",7.39009172726097,8.1478057938104
162,"Brawley (Seismic Zone) alt 1, Subsection 5",7.384036379012502,8.147770395354936
163,"Brawley (Seismic Zone) alt 1, Subsection 6",7.383994441040679,8.147646108800554
164,"Brawley (Seismic Zone) alt 1, Subsection 7",7.383344892043489,8.147438432956825
165,"Brawley (Seismic Zone) alt 1, Subsection 8",7.382014638421167,8.147149587453015
166,"Brawley (Seismic Zone) alt 1, Subsection 9",7.338935043958904,8.146707573167147
167,"Breckenridge 2011, Subsection 0",6.921185756504862,7.51453402228021
168,"Breckenridge 2011, Subsection 1",6.921185756504862,7.51453402228021
169,"Bullion Mountains, Subsection 0",6.970803282983071,6.933874959156483
170,"Bullion Mountains, Subsection 1",6.970803282983071,6.930399352391534
171,"Bullion Mountains, Subsection 2",6.970803282983071,6.879040540195763
172,"Bullion Mountains, Subsection 3",6.970803282983071,6.872010134347824
173,"Bullion Mountains, Subsection 4",6.970803282983071,6.8195806587455525
174,"Bullion Mountains, Subsection 5",6.937824741869574,6.875579357660987
175,"Burnt Mtn, Subsection 0",7.580517406788037,6.582330195807869
176,"Burnt Mtn, Subsection 1",7.580517406788037,6.409681991299903
177,"Burnt Mtn, Subsection 2",7.5059272587050865,6.582330195807869
178,"Butano 2011 CFM, Subsection 0",7.361549123211951,8.080679430507072
179,"Butano 2011 CFM, Subsection 1",7.180651842401095,8.079548548972598
180,"Butano 2011 CFM, Subsection 2",7.0779414945637384,8.076734006945228
181,"Butano 2011 CFM, Subsection 3",7.266900059969858,8.011054095444463
182,"Butano 2011 CFM, Subsection 4",7.077526385824035,8.006832872384921
183,"Butano 2011 CFM, Subsection 5",7.077526385824035,8.00231225453199
184,"Butano 2011 CFM, Subsection 6",6.890879538069092,7.99895006534676
185,"Butano 2011 CFM, Subsection 7",7.274164278503151,7.995954927736414
186,"Cady, Subsection 0",7.467660023707158,6.941689875738264
187,"Cady, Subsection 1",7.514974479147544,6.940241556810437
188,"Cady, Subsection 2",7.51476391735313,6.9440025151381555
189,"Cady, Subsection 3",7.5162420973298465,7.000012583203746
190,"Cady, Subsection 4",7.519315265763994,7.0038016414603295
