Min Mag,Mean,Standard Deviation,COV
6.0,0.95505965,0.40834385,0.42755848
6.5,0.81354797,0.26366004,0.32408667
7.0,0.7615701,0.2433457,0.3195316
7.5,0.6991527,0.2585275,0.36977255
