Magnitude,Mean,Standard Deviation
10.0,2.3290946,1.277889
30.0,1.8267142,0.47188827
50.0,2.0219002,0.4312853
70.0,2.1432285,0.40967348
90.0,2.215223,0.39942455
110.0,2.253893,0.38808206
130.0,2.3115284,0.3737216
150.0,2.3152938,0.33935985
170.0,2.3133752,0.31057462
190.0,2.308915,0.29296666
210.0,2.3127367,0.25460497
