Magnitude,Mean,Standard Deviation
10.0,1.1409545,0.90261835
30.0,0.88948536,0.23677437
50.0,0.9835263,0.2141439
70.0,1.0427376,0.2024879
90.0,1.0768206,0.19436708
110.0,1.0935051,0.18874253
130.0,1.1196986,0.1774653
150.0,1.121151,0.16168647
170.0,1.1215124,0.14940473
190.0,1.1226933,0.13947237
210.0,1.1328263,0.12856264
