Min Mag,Mean,Standard Deviation,COV
6.0,0.999496,0.41282403,0.4130322
6.5,0.9994684,0.35476285,0.35495156
7.0,0.99890053,0.3352517,0.3356207
7.5,0.99661756,0.4835734,0.48521462
