Min Mag,Mean,Standard Deviation,COV
6.0,0.9995713,0.7822764,0.78261185
6.5,0.9996001,0.6090378,0.6092815
7.0,0.9994119,0.5089612,0.5092607
7.5,0.9986883,0.49407437,0.49472332
