Magnitude,Mean,Standard Deviation
10.0,0.9615152,0.8092801
30.0,0.7156075,0.22232929
50.0,0.7994179,0.20074143
70.0,0.85568845,0.19405262
90.0,0.890865,0.19182312
110.0,0.9132445,0.18834195
130.0,0.94109577,0.18095896
150.0,0.94848037,0.17023233
170.0,0.9505124,0.16196999
190.0,0.95169234,0.15122156
210.0,0.9529144,0.14203069
