Min Mag,Mean,Standard Deviation,COV
6.0,0.99887323,0.5664358,0.5670748
6.5,0.9986993,0.45901144,0.45960924
7.0,0.9977322,0.43654647,0.43753868
7.5,0.99112546,0.5659788,0.5710466
