Min Mag,Mean,Standard Deviation,COV
6.0,0.9997423,0.31607908,0.31616053
6.5,0.9996918,0.30406561,0.30415937
7.0,0.99938446,0.31695762,0.31715286
7.5,0.9977397,0.47673342,0.47781342
