Min Mag,Mean,Standard Deviation,COV
6.0,0.9997376,0.32017368,0.3202577
6.5,0.99971294,0.30568686,0.30577466
7.0,0.99947023,0.31577724,0.31594464
7.5,0.998039,0.46620676,0.4671228
