Magnitude,Mean,Standard Deviation
10.0,2.1920805,1.2500023
30.0,1.726863,0.45410424
50.0,1.9351224,0.41349065
70.0,2.064056,0.40073252
90.0,2.1511173,0.3954202
110.0,2.2005687,0.3971079
130.0,2.2701452,0.35363987
150.0,2.27646,0.32866964
170.0,2.276101,0.3151232
190.0,2.2666194,0.29784688
210.0,2.2756622,0.24992126
