Magnitude,Mean,Standard Deviation
10.0,1.0985632,0.8848069
30.0,0.8591304,0.2296202
50.0,0.9557053,0.20962456
70.0,1.0143667,0.20064162
90.0,1.04997,0.19212732
110.0,1.0658923,0.18863948
130.0,1.0927929,0.18027215
150.0,1.0941758,0.16616978
170.0,1.0941468,0.15469591
190.0,1.0952225,0.14444976
210.0,1.1072295,0.13142477
