Min Mag,Mean,Standard Deviation,COV
6.0,0.9996668,0.7723813,0.77263874
6.5,0.9996385,0.609121,0.6093413
7.0,0.9993589,0.5110629,0.51139075
7.5,0.9988755,0.5003323,0.50089556
