Min Mag,Mean,Standard Deviation,COV
6.0,0.999825,0.3189733,0.31902912
6.5,0.9998092,0.3068071,0.30686566
7.0,0.9995463,0.32003126,0.3201765
7.5,0.99838156,0.4806118,0.48139092
