Sect Index,Sect Name,RSQSim,UCERF3
0,"Airport Lake, Subsection 0",7.303216150556949,6.984713285643797
1,"Airport Lake, Subsection 1",7.289974698850292,6.976343248590321
2,"Airport Lake, Subsection 2",7.3008682116408234,6.976558419572255
3,"Airport Lake, Subsection 3",7.302447522758498,6.982901215549751
4,"Airport Lake, Subsection 4",7.301706854791116,7.005265939056322
5,"Airport Lake, Subsection 5",7.304243635810136,7.08147142822321
6,"Almanor 2011 CFM, Subsection 0",7.133788530246558,6.778199409017018
7,"Almanor 2011 CFM, Subsection 1",7.1317667936373175,6.769017501636649
8,"Almanor 2011 CFM, Subsection 2",7.1310580492241,6.76178891285183
9,"Almanor 2011 CFM, Subsection 3",7.132821048844409,6.72242607251981
10,"Almanor 2011 CFM, Subsection 4",7.1324559446425315,6.713362265071925
11,"Almanor 2011 CFM, Subsection 5",7.13250260339897,6.715508566981724
12,"Almanor 2011 CFM, Subsection 6",7.139646597530779,6.542991189066157
13,"Anacapa-Dume alt 1, Subsection 0",7.355138096375128,7.664783875728094
14,"Anacapa-Dume alt 1, Subsection 1",7.342129893896813,7.664472339825109
15,"Anacapa-Dume alt 1, Subsection 2",7.353833513366594,7.665474162812062
16,"Anacapa-Dume alt 1, Subsection 3",7.36112109540506,7.634178563185547
17,"Anacapa-Dume alt 1, Subsection 4",7.361943935414729,7.642285990982098
18,"Anaheim, Subsection 0",7.214486567367205,7.613666906209872
19,"Anaheim, Subsection 1",NaN,7.609500894432368
20,"Anaheim, Subsection 2",7.796264342700706,7.609509454070276
21,"Antelope Valley 2011, Subsection 0",7.271883634976063,6.85535649016967
22,"Antelope Valley 2011, Subsection 1",7.268167225569999,6.851885391528936
23,"Antelope Valley 2011, Subsection 2",7.262458326289239,6.749158681738356
24,"Antelope Valley 2011, Subsection 3",7.249047406922838,6.749158681738356
25,"Antelope Valley 2011, Subsection 4",7.261457833798291,6.851885391528935
26,"Antelope Valley 2011, Subsection 5",7.282191337804879,6.85535649016967
27,"Ash Hill, Subsection 0",7.4381082989020575,6.8209195431745036
28,"Ash Hill, Subsection 1",7.451718488457726,6.757089690477432
29,"Ash Hill, Subsection 2",7.450743398548507,6.753821128305235
30,"Ash Hill, Subsection 3",7.418158009959597,6.751762103263827
31,"Ash Hill, Subsection 4",7.432160394614518,6.751762103263828
32,"Ash Hill, Subsection 5",7.415188870458498,6.753821128305236
33,"Ash Hill, Subsection 6",7.471188726681616,6.757089690477434
34,"Ash Hill, Subsection 7",7.525530214223628,6.820919543174505
35,"Baker, Subsection 0",7.58335253530723,7.782831761891968
36,"Baker, Subsection 1",7.581828850812314,7.778916338869573
37,"Baker, Subsection 2",7.581828850812314,7.774982735341211
38,"Baker, Subsection 3",7.5800277311930735,7.7711189554219375
39,"Baker, Subsection 4",7.0408980893274125,7.768445280738095
40,"Baker, Subsection 5",6.98734147852559,7.766993967700591
41,"Baker, Subsection 6",6.98681346797981,7.765646692618647
42,"Baker, Subsection 7",6.987733387900942,7.764140818941635
43,"Baker, Subsection 8",6.981922632586649,7.762288600454049
44,"Baker, Subsection 9",6.991642523373023,7.760188832112902
45,"Baker, Subsection 10",6.982260562785347,7.75723116951414
46,"Baker, Subsection 11",6.980245082606756,7.757050729208456
47,"Baker, Subsection 12",6.857326902143078,7.757042619157234
48,"Baker, Subsection 13",6.827916812495325,7.75734565563192
49,"Bartlett Springs 2011 CFM, Subsection 0",7.476243793321908,7.652854294963522
50,"Bartlett Springs 2011 CFM, Subsection 1",7.476104360166499,7.653912706183937
51,"Bartlett Springs 2011 CFM, Subsection 2",7.477399488506455,7.6579120714357325
52,"Bartlett Springs 2011 CFM, Subsection 3",7.477442917449914,7.662475361553411
53,"Bartlett Springs 2011 CFM, Subsection 4",7.4778110911083715,7.667716578163698
54,"Bartlett Springs 2011 CFM, Subsection 5",7.477410121562951,7.672339430702827
55,"Bartlett Springs 2011 CFM, Subsection 6",7.478292940779052,7.675976580057169
56,"Bartlett Springs 2011 CFM, Subsection 7",7.47832558940727,7.678847187067588
57,"Bartlett Springs 2011 CFM, Subsection 8",7.476875631533359,7.682092492001642
58,"Bartlett Springs 2011 CFM, Subsection 9",7.496135848504307,7.684905746801016
59,"Bartlett Springs 2011 CFM, Subsection 10",7.5116095194791805,7.687461522896469
60,"Bartlett Springs 2011 CFM, Subsection 11",7.871657598089933,7.689899004698408
61,"Bartlett Springs 2011 CFM, Subsection 12",7.3746430705829615,7.6917082358843505
62,"Bartlett Springs 2011 CFM, Subsection 13",7.3679694355773515,7.693122628824756
63,"Bartlett Springs 2011 CFM, Subsection 14",7.356868285935444,7.6944484022736
64,"Bartlett Springs 2011 CFM, Subsection 15",7.325782718246808,7.695772639795705
65,"Bartlett Springs 2011 CFM, Subsection 16",7.319486951651017,7.696600877603451
66,"Bartlett Springs 2011 CFM, Subsection 17",7.318002196129213,7.697426975146462
67,"Bartlett Springs 2011 CFM, Subsection 18",7.318076132239329,7.697931274632457
68,"Bartlett Springs 2011 CFM, Subsection 19",7.321600234692299,7.69820613455237
69,"Bartlett Springs 2011 CFM, Subsection 20",7.322001366673176,7.697715949423456
70,"Bartlett Springs 2011 CFM, Subsection 21",7.336149846192396,7.697880337001577
71,"Bartlett Springs 2011 CFM, Subsection 22",7.348531432487606,7.699605082627926
72,"Battle Creek 2011 CFM, Subsection 0",7.400366402920657,7.1734127274744734
73,"Battle Creek 2011 CFM, Subsection 1",7.400366402920657,7.1701132526027775
74,"Battle Creek 2011 CFM, Subsection 2",7.396595997653704,7.086658279490053
75,"Battle Creek 2011 CFM, Subsection 3",7.39656121584039,7.085542932846616
76,"Battle Creek 2011 CFM, Subsection 4",7.39656121584039,7.086658279490053
77,"Battle Creek 2011 CFM, Subsection 5",7.398907318224896,7.1701132526027775
78,"Battle Creek 2011 CFM, Subsection 6",7.403409332766315,7.1734127274744734
79,"Bear River fault zone, Subsection 0",NaN,7.189474576495719
