Magnitude,Mean,Standard Deviation
10.0,2.3876128,1.2719437
30.0,1.9846509,0.5058952
50.0,2.2080727,0.4627688
70.0,2.3442779,0.44490826
90.0,2.4375906,0.4335348
110.0,2.4668708,0.42428973
130.0,2.5282545,0.40586632
150.0,2.5318801,0.36608553
170.0,2.5274796,0.33318582
190.0,2.524833,0.305279
210.0,2.535025,0.26555339
